date,neighborhood
2007-05-21 00:00:00+00:00,Oliver
2008-08-18 00:00:00+00:00,Oliver
2010-12-14 00:00:00+00:00,Oliver
2007-07-24 00:00:00+00:00,Oliver
2007-05-21 00:00:00+00:00,Oliver
2006-10-26 00:00:00+00:00,Oliver
2022-11-30 00:00:00+00:00,Oliver
2020-12-03 00:00:00+00:00,Oliver
2026-03-12 00:00:00+00:00,Oliver
2007-08-16 00:00:00+00:00,Oliver
2020-10-24 00:00:00+00:00,Oliver
2021-05-28 00:00:00+00:00,Oliver
2024-01-08 00:00:00+00:00,Oliver
2024-12-08 00:00:00+00:00,Oliver
2023-05-23 00:00:00+00:00,Oliver
2022-02-18 00:00:00+00:00,Oliver
2023-01-07 00:00:00+00:00,Gay Street
2021-05-10 00:00:00+00:00,Gay Street
2026-02-09 00:00:00+00:00,Berea
2025-02-04 00:00:00+00:00,Biddle Street
2024-07-28 00:00:00+00:00,Biddle Street
2022-08-22 00:00:00+00:00,Biddle Street
2026-01-13 00:00:00+00:00,Midtown-Edmondson
2024-01-11 00:00:00+00:00,Midtown-Edmondson
2026-04-01 00:00:00+00:00,Midtown-Edmondson
2012-03-06 00:00:00+00:00,Midtown-Edmondson
2006-09-15 00:00:00+00:00,Midtown-Edmondson
2010-04-23 00:00:00+00:00,Midtown-Edmondson
2025-06-26 00:00:00+00:00,Midtown-Edmondson
2023-04-11 00:00:00+00:00,Harlem Park
2020-04-14 00:00:00+00:00,Harlem Park
2023-12-22 00:00:00+00:00,Midtown-Edmondson
2009-01-15 00:00:00+00:00,Midtown-Edmondson
2023-04-11 00:00:00+00:00,Midtown-Edmondson
2009-08-24 00:00:00+00:00,Harlem Park
2014-09-02 00:00:00+00:00,Harlem Park
2026-03-30 00:00:00+00:00,Harlem Park
2005-09-13 00:00:00+00:00,Harlem Park
2011-08-04 00:00:00+00:00,Harlem Park
2006-02-01 00:00:00+00:00,Midtown-Edmondson
2007-02-01 00:00:00+00:00,Midtown-Edmondson
2009-10-05 00:00:00+00:00,Midtown-Edmondson
2012-12-14 00:00:00+00:00,Midtown-Edmondson
2019-03-06 00:00:00+00:00,Midtown-Edmondson
2009-06-04 00:00:00+00:00,Midtown-Edmondson
2006-01-31 00:00:00+00:00,Midtown-Edmondson
2016-08-16 00:00:00+00:00,Midtown-Edmondson
2013-04-26 00:00:00+00:00,Midtown-Edmondson
2006-12-18 00:00:00+00:00,Midtown-Edmondson
2009-04-28 00:00:00+00:00,Midtown-Edmondson
2010-04-16 00:00:00+00:00,Midtown-Edmondson
2015-02-04 00:00:00+00:00,Midtown-Edmondson
2008-06-07 00:00:00+00:00,Midtown-Edmondson
2025-06-11 00:00:00+00:00,Sandtown-Winchester
2017-12-06 00:00:00+00:00,Sandtown-Winchester
2017-03-29 00:00:00+00:00,Sandtown-Winchester
2025-01-29 00:00:00+00:00,Midtown-Edmondson
2008-06-27 00:00:00+00:00,Midtown-Edmondson
2025-02-05 00:00:00+00:00,Midtown-Edmondson
2026-04-03 00:00:00+00:00,Sandtown-Winchester
2021-05-27 00:00:00+00:00,Sandtown-Winchester
2008-11-18 00:00:00+00:00,Midtown-Edmondson
2021-10-31 00:00:00+00:00,Midtown-Edmondson
2026-02-24 00:00:00+00:00,Sandtown-Winchester
2025-12-23 00:00:00+00:00,Sandtown-Winchester
2006-03-21 00:00:00+00:00,Sandtown-Winchester
2023-12-26 00:00:00+00:00,Sandtown-Winchester
2026-01-26 00:00:00+00:00,Sandtown-Winchester
2008-06-15 00:00:00+00:00,Sandtown-Winchester
2024-01-26 00:00:00+00:00,Sandtown-Winchester
2012-09-13 00:00:00+00:00,Sandtown-Winchester
2025-05-22 00:00:00+00:00,Mid-Town Belvedere
2025-05-22 00:00:00+00:00,Mid-Town Belvedere
2025-12-23 00:00:00+00:00,Sandtown-Winchester
2015-01-07 00:00:00+00:00,Sandtown-Winchester
2019-02-10 00:00:00+00:00,Sandtown-Winchester
2013-11-27 00:00:00+00:00,Sandtown-Winchester
2021-05-14 00:00:00+00:00,Easterwood
2013-07-17 00:00:00+00:00,Easterwood
2021-09-12 00:00:00+00:00,Easterwood
2025-03-21 00:00:00+00:00,Easterwood
2026-05-19 00:00:00+00:00,Easterwood
2025-12-08 00:00:00+00:00,Easterwood
2019-05-10 00:00:00+00:00,Easterwood
2011-04-19 00:00:00+00:00,Easterwood
2018-02-07 00:00:00+00:00,Easterwood
2017-11-10 00:00:00+00:00,Easterwood
2023-03-20 00:00:00+00:00,Easterwood
2024-07-24 00:00:00+00:00,Easterwood
2026-06-18 00:00:00+00:00,Easterwood
2026-02-02 00:00:00+00:00,Easterwood
2026-06-05 00:00:00+00:00,Easterwood
2016-04-11 00:00:00+00:00,Easterwood
2015-02-11 00:00:00+00:00,Easterwood
2015-08-12 00:00:00+00:00,Easterwood
2022-09-23 00:00:00+00:00,Druid Heights
2022-10-25 00:00:00+00:00,Druid Heights
2024-07-03 00:00:00+00:00,Druid Heights
2010-11-08 00:00:00+00:00,Druid Heights
2018-02-11 00:00:00+00:00,Druid Heights
2026-04-27 00:00:00+00:00,Druid Heights
2010-05-03 00:00:00+00:00,Druid Heights
2008-11-21 00:00:00+00:00,Druid Heights
2016-11-01 00:00:00+00:00,Druid Heights
2010-05-07 00:00:00+00:00,Druid Heights
2007-11-09 00:00:00+00:00,Druid Heights
2023-01-03 00:00:00+00:00,Druid Heights
2011-01-05 00:00:00+00:00,Sandtown-Winchester
2018-02-22 00:00:00+00:00,Sandtown-Winchester
2025-01-09 00:00:00+00:00,Sandtown-Winchester
2024-01-09 00:00:00+00:00,Sandtown-Winchester
2024-09-23 00:00:00+00:00,Sandtown-Winchester
2015-06-03 00:00:00+00:00,Midtown-Edmondson
2026-02-16 00:00:00+00:00,Midtown-Edmondson
2009-08-13 00:00:00+00:00,Midtown-Edmondson
2015-10-30 00:00:00+00:00,Sandtown-Winchester
2018-01-24 00:00:00+00:00,Midtown-Edmondson
2025-12-12 00:00:00+00:00,Midtown-Edmondson
2025-11-05 00:00:00+00:00,Midtown-Edmondson
2019-02-24 00:00:00+00:00,Sandtown-Winchester
2018-10-14 00:00:00+00:00,Sandtown-Winchester
2004-12-08 00:00:00+00:00,Sandtown-Winchester
2012-11-01 00:00:00+00:00,Sandtown-Winchester
2012-12-06 00:00:00+00:00,Sandtown-Winchester
2018-04-10 00:00:00+00:00,Sandtown-Winchester
2004-12-08 00:00:00+00:00,Sandtown-Winchester
2024-02-05 00:00:00+00:00,Midtown-Edmondson
2016-07-05 00:00:00+00:00,Sandtown-Winchester
2016-07-01 00:00:00+00:00,Sandtown-Winchester
2026-03-16 00:00:00+00:00,Sandtown-Winchester
2026-03-26 00:00:00+00:00,Sandtown-Winchester
2013-02-04 00:00:00+00:00,Sandtown-Winchester
2006-10-05 00:00:00+00:00,Sandtown-Winchester
2008-01-08 00:00:00+00:00,Easterwood
2016-03-11 00:00:00+00:00,Easterwood
2025-06-07 00:00:00+00:00,Easterwood
2015-09-04 00:00:00+00:00,Easterwood
2017-09-25 00:00:00+00:00,Easterwood
2017-10-23 00:00:00+00:00,Easterwood
2012-05-02 00:00:00+00:00,Easterwood
2010-04-29 00:00:00+00:00,Easterwood
2026-06-16 00:00:00+00:00,Sandtown-Winchester
2024-05-08 00:00:00+00:00,Sandtown-Winchester
2026-02-06 00:00:00+00:00,Sandtown-Winchester
2012-06-04 00:00:00+00:00,Sandtown-Winchester
2008-02-21 00:00:00+00:00,Sandtown-Winchester
2009-08-12 00:00:00+00:00,Sandtown-Winchester
2008-01-04 00:00:00+00:00,Sandtown-Winchester
2008-04-09 00:00:00+00:00,Sandtown-Winchester
2024-03-01 00:00:00+00:00,Sandtown-Winchester
2023-04-03 00:00:00+00:00,Sandtown-Winchester
2024-02-24 00:00:00+00:00,Sandtown-Winchester
2017-12-03 00:00:00+00:00,Sandtown-Winchester
2025-06-25 00:00:00+00:00,Sandtown-Winchester
2024-02-24 00:00:00+00:00,Sandtown-Winchester
2008-02-21 00:00:00+00:00,Sandtown-Winchester
2006-02-06 00:00:00+00:00,Sandtown-Winchester
2018-02-07 00:00:00+00:00,Sandtown-Winchester
2012-07-18 00:00:00+00:00,Sandtown-Winchester
2009-04-22 00:00:00+00:00,Sandtown-Winchester
2009-06-29 00:00:00+00:00,Sandtown-Winchester
2008-03-13 00:00:00+00:00,Sandtown-Winchester
2019-12-27 00:00:00+00:00,Sandtown-Winchester
2022-10-07 00:00:00+00:00,Sandtown-Winchester
2012-06-01 00:00:00+00:00,Sandtown-Winchester
2025-01-13 00:00:00+00:00,Sandtown-Winchester
2018-03-25 00:00:00+00:00,Sandtown-Winchester
2024-07-11 00:00:00+00:00,Sandtown-Winchester
2008-03-13 00:00:00+00:00,Sandtown-Winchester
2009-04-22 00:00:00+00:00,Sandtown-Winchester
2017-12-20 00:00:00+00:00,Sandtown-Winchester
2026-04-10 00:00:00+00:00,Sandtown-Winchester
2016-07-27 00:00:00+00:00,Sandtown-Winchester
2026-03-26 00:00:00+00:00,Sandtown-Winchester
2025-06-11 00:00:00+00:00,Sandtown-Winchester
2026-06-02 00:00:00+00:00,Sandtown-Winchester
2013-11-08 00:00:00+00:00,Sandtown-Winchester
2009-06-10 00:00:00+00:00,Sandtown-Winchester
2025-01-14 00:00:00+00:00,Sandtown-Winchester
2013-03-22 00:00:00+00:00,Sandtown-Winchester
2023-09-29 00:00:00+00:00,Sandtown-Winchester
2012-08-20 00:00:00+00:00,Sandtown-Winchester
2017-02-27 00:00:00+00:00,Sandtown-Winchester
2018-12-24 00:00:00+00:00,Sandtown-Winchester
2026-02-25 00:00:00+00:00,Sandtown-Winchester
2021-09-22 00:00:00+00:00,Sandtown-Winchester
2017-05-30 00:00:00+00:00,Easterwood
2024-07-11 00:00:00+00:00,Sandtown-Winchester
2012-05-15 00:00:00+00:00,Sandtown-Winchester
2017-11-17 00:00:00+00:00,Sandtown-Winchester
2017-04-27 00:00:00+00:00,Sandtown-Winchester
2025-06-11 00:00:00+00:00,Sandtown-Winchester
2009-09-21 00:00:00+00:00,Sandtown-Winchester
2026-04-23 00:00:00+00:00,Sandtown-Winchester
2024-01-11 00:00:00+00:00,Sandtown-Winchester
2006-03-22 00:00:00+00:00,Sandtown-Winchester
2011-05-27 00:00:00+00:00,Sandtown-Winchester
2022-11-04 00:00:00+00:00,Sandtown-Winchester
2023-06-09 00:00:00+00:00,Sandtown-Winchester
2025-12-03 00:00:00+00:00,Sandtown-Winchester
2007-07-13 00:00:00+00:00,Sandtown-Winchester
2011-02-10 00:00:00+00:00,Sandtown-Winchester
2020-02-13 00:00:00+00:00,Sandtown-Winchester
2023-03-31 00:00:00+00:00,Sandtown-Winchester
2017-03-08 00:00:00+00:00,Mt. Clare
2018-06-21 00:00:00+00:00,Mt. Clare
2018-03-14 00:00:00+00:00,Mt. Clare
2013-01-18 00:00:00+00:00,Mt. Clare
2012-01-20 00:00:00+00:00,Mt. Clare
2018-03-16 00:00:00+00:00,Mt. Clare
2017-04-02 00:00:00+00:00,Mt. Clare
2016-10-07 00:00:00+00:00,Mt. Clare
2025-12-19 00:00:00+00:00,Mt. Clare
2016-04-07 00:00:00+00:00,Mt. Clare
2022-04-07 00:00:00+00:00,Mt. Clare
2016-07-15 00:00:00+00:00,Mt. Clare
2026-02-03 00:00:00+00:00,Mt. Clare
2024-12-23 00:00:00+00:00,Mt. Clare
2024-09-27 00:00:00+00:00,Mt. Clare
2024-08-18 00:00:00+00:00,Mt. Clare
2021-08-03 00:00:00+00:00,Oliver
2026-07-01 00:00:00+00:00,Oliver
2024-12-27 00:00:00+00:00,Oliver
2025-08-27 00:00:00+00:00,Oliver
2024-11-21 00:00:00+00:00,Oliver
2024-07-28 00:00:00+00:00,Oliver
2021-02-08 00:00:00+00:00,Oliver
2018-03-10 00:00:00+00:00,Oliver
2025-03-31 00:00:00+00:00,Oliver
2011-05-09 00:00:00+00:00,Oliver
2025-12-01 00:00:00+00:00,Oliver
2010-03-09 00:00:00+00:00,Oliver
2025-11-28 00:00:00+00:00,Oliver
2010-09-29 00:00:00+00:00,Oliver
2015-05-22 00:00:00+00:00,Oliver
2025-11-24 00:00:00+00:00,Oliver
2023-12-26 00:00:00+00:00,Oliver
2011-06-10 00:00:00+00:00,Oliver
2026-02-09 00:00:00+00:00,Oliver
2022-12-13 00:00:00+00:00,Oliver
2025-12-10 00:00:00+00:00,Oliver
2025-05-13 00:00:00+00:00,Oliver
2022-04-22 00:00:00+00:00,Oliver
2025-10-30 00:00:00+00:00,Oliver
2006-08-17 00:00:00+00:00,Oliver
2023-03-01 00:00:00+00:00,Oliver
2023-10-27 00:00:00+00:00,Oliver
2020-07-30 00:00:00+00:00,Oliver
2017-07-02 00:00:00+00:00,Oliver
2020-10-22 00:00:00+00:00,Sandtown-Winchester
2026-03-26 00:00:00+00:00,Sandtown-Winchester
2023-06-14 00:00:00+00:00,Sandtown-Winchester
2025-11-02 00:00:00+00:00,Sandtown-Winchester
2021-07-25 00:00:00+00:00,Sandtown-Winchester
2024-01-23 00:00:00+00:00,Druid Heights
2016-05-23 00:00:00+00:00,Sandtown-Winchester
2023-04-03 00:00:00+00:00,Sandtown-Winchester
2008-10-16 00:00:00+00:00,Sandtown-Winchester
2026-04-10 00:00:00+00:00,Harlem Park
2026-03-11 00:00:00+00:00,Harlem Park
2010-04-23 00:00:00+00:00,Midtown-Edmondson
2023-04-11 00:00:00+00:00,Harlem Park
2011-11-29 00:00:00+00:00,Harlem Park
2025-11-04 00:00:00+00:00,Harlem Park
2021-03-12 00:00:00+00:00,Harlem Park
2026-01-23 00:00:00+00:00,Harlem Park
2022-05-11 00:00:00+00:00,Harlem Park
2025-10-30 00:00:00+00:00,Harlem Park
2026-03-19 00:00:00+00:00,Harlem Park
2024-02-20 00:00:00+00:00,Harlem Park
2025-10-30 00:00:00+00:00,Harlem Park
2025-10-30 00:00:00+00:00,Harlem Park
2025-10-20 00:00:00+00:00,Harlem Park
2025-12-03 00:00:00+00:00,Harlem Park
2006-03-10 00:00:00+00:00,Midtown-Edmondson
2007-04-10 00:00:00+00:00,Sandtown-Winchester
2009-09-17 00:00:00+00:00,Sandtown-Winchester
2012-04-24 00:00:00+00:00,Sandtown-Winchester
2011-08-18 00:00:00+00:00,Sandtown-Winchester
2023-03-31 00:00:00+00:00,Sandtown-Winchester
2024-01-09 00:00:00+00:00,Sandtown-Winchester
2021-04-28 00:00:00+00:00,Sandtown-Winchester
2021-10-22 00:00:00+00:00,Sandtown-Winchester
2017-01-24 00:00:00+00:00,Sandtown-Winchester
2011-04-08 00:00:00+00:00,Sandtown-Winchester
2011-03-09 00:00:00+00:00,Sandtown-Winchester
2013-05-24 00:00:00+00:00,Sandtown-Winchester
2005-08-16 00:00:00+00:00,Sandtown-Winchester
2025-12-09 00:00:00+00:00,Sandtown-Winchester
2023-03-25 00:00:00+00:00,Sandtown-Winchester
2006-11-30 00:00:00+00:00,Sandtown-Winchester
2009-09-08 00:00:00+00:00,Sandtown-Winchester
2015-06-04 00:00:00+00:00,Sandtown-Winchester
2023-03-31 00:00:00+00:00,Sandtown-Winchester
2012-05-15 00:00:00+00:00,Sandtown-Winchester
2004-11-11 00:00:00+00:00,Sandtown-Winchester
2025-12-08 00:00:00+00:00,Sandtown-Winchester
2019-10-18 00:00:00+00:00,Sandtown-Winchester
2025-07-11 00:00:00+00:00,Sandtown-Winchester
2019-04-05 00:00:00+00:00,Sandtown-Winchester
2024-02-25 00:00:00+00:00,Sandtown-Winchester
2013-12-20 00:00:00+00:00,Sandtown-Winchester
2025-01-29 00:00:00+00:00,Sandtown-Winchester
2013-12-13 00:00:00+00:00,Sandtown-Winchester
